PropertyID,Location,Size_sqft,SalePrice
2001,Suburb,2996,355372
2002,Downtown,2887,505830
2003,Suburb,957,338789
2004,Countryside,1814,419335
2005,Suburb,850,357301
2006,Countryside,1485,303756
2007,Countryside,2171,240975
2008,Downtown,1547,416148
2009,Suburb,1079,525559
2010,Countryside,1893,467473
2011,Suburb,2336,208683
2012,Downtown,2876,450825
2013,Countryside,2549,349978
2014,Downtown,2438,335603
2015,Suburb,2782,227070
2016,Suburb,1396,464817
2017,Suburb,1027,489508
2018,Downtown,1257,371794
2019,Downtown,1818,503101
2020,Downtown,2847,321393
2021,Countryside,1464,598378
2022,Downtown,1636,205943
2023,Suburb,806,534479
2024,Downtown,1158,431974
2025,Suburb,2727,538077
2026,Suburb,2288,426285
2027,Suburb,2851,335385
2028,Suburb,1003,238408
2029,Downtown,2318,441358
2030,Countryside,2928,533933
2031,Countryside,1819,250670
2032,Downtown,806,278266
2033,Downtown,2982,300794
2034,Downtown,1092,453159
2035,Countryside,1348,463415
2036,Suburb,1214,343515
2037,Downtown,1087,473749
2038,Suburb,2543,248981
2039,Downtown,951,224640
2040,Suburb,2775,582544
2041,Downtown,2248,402900
2042,Downtown,1894,303831
2043,Suburb,2139,332684
2044,Countryside,1309,534471
2045,Suburb,2078,597655
2046,Countryside,2172,366166
2047,Downtown,2969,337055
2048,Suburb,1323,272357
2049,Suburb,2561,526098
2050,Countryside,1403,261167
2051,Downtown,1142,382323
2052,Downtown,1942,277295
2053,Suburb,1911,512177
2054,Suburb,1481,316581
2055,Downtown,1753,480899
2056,Suburb,1127,456802
2057,Downtown,1342,386984
2058,Suburb,987,387550
2059,Downtown,1068,285984
2060,Downtown,2512,339934
2061,Downtown,1698,346495
2062,Suburb,1064,554789
2063,Countryside,1287,358459
2064,Downtown,1300,238003
2065,Suburb,2725,481837
2066,Downtown,1426,597383
2067,Suburb,1039,261186
2068,Downtown,965,526649
2069,Countryside,1021,469341
2070,Suburb,2883,430403
2071,Downtown,2771,253552
2072,Downtown,2989,526166
2073,Countryside,1041,485397
2074,Countryside,2401,441171
2075,Suburb,2678,306472
2076,Suburb,1445,403703
2077,Suburb,1133,538947
2078,Downtown,2235,217159
2079,Downtown,2352,246019
2080,Suburb,2671,597351
2081,Countryside,1821,486149
2082,Countryside,2330,257959
2083,Suburb,2984,508251
2084,Countryside,907,544991
2085,Suburb,1370,217406
2086,Suburb,1130,531612
2087,Downtown,891,219165
2088,Downtown,2884,493408
2089,Countryside,1055,532560
2090,Suburb,2340,357476
2091,Countryside,1217,386302
2092,Suburb,1887,256192
2093,Suburb,1136,551525
2094,Downtown,2438,283697
2095,Suburb,1482,543512
2096,Countryside,2005,271942
2097,Suburb,2686,551317
2098,Countryside,1889,530264
2099,Downtown,1453,502089
2100,Countryside,2050,562155
